Setting,Aggressive Config (Poor Results),Corrected Config (Stable),Why It Matters,Odia Practical Example (ଓଡ଼ିଆ ଉଦାହରଣ),English Translation
Base Learning Rate,5e-5,2e-5,Lower base prevents overshooting good minima,"ତୁ ବଡ଼ ଚାମଚ (5e-5) ରେ ice cream ଖାଉ — ନାକ ଉପରେ ପଡ଼ିଗଲା! ଛୋଟ ଚାମଚ (2e-5) ରେ ଖାଅ — ପ୍ରତ୍ୟେକ କୋଳି ଆନନ୍ଦ!","You eat ice cream with a BIG spoon (5e-5) — it falls on your nose! Use a SMALL spoon (2e-5) — every bite is perfect!"
LR Scaling Rule,"sqrt(batch/32) = 2.83x",None applied,Scaling was too aggressive for this task,"ବାନର (monkey) ସାଇକେଲ ଚଲାଉଥିଲା — ତାକୁ rocket ଲଗାଇ ଦେଲ! ବାନର ଆକାଶରେ ଉଡ଼ିଗଲା! Rocket ନ ଲଗାଇ ସାଇକେଲ ଚଲାଅ — ଘରେ ଖୁସିରେ ପହଞ୍ଚ।","A monkey was cycling — someone attached a rocket! Monkey flew into the sky! Just let it cycle without rocket — reaches home happily."
Effective Backbone LR,1.41e-4,2e-5 (7x lower),Pre-trained backbone needs gentle updates,"ଜେଜେମା 60 ବର୍ଷ ଧରି ରାନ୍ଧୁଛି। ତୁ ଚିଲ୍ଲାଇ କହିଲ 'ଜେଜେମା ସବୁ ଭୁଲ!' — ସେ ରାଗିଲେ! ଆସ୍ତେ ଆସ୍ତେ କହ 'ଟିକେ ନୂଆ ମସଲା ଦେଖ' — ସେ ଖୁସିରେ ଶିଖିଲେ।","Grandma has cooked for 60 years. You yell 'Grandma everything is wrong!' — she gets angry! Softly say 'try this new spice' — she happily learns."
Head LR Multiplier,10x,5x,Reduced multiplier avoids head instability,"DJ party ରେ volume 10x ବଢ଼ାଇଲ — ସବୁ ଲୋକ ପଳାଇଲେ! Volume 5x ରଖ — ସବୁ ନାଚୁଛନ୍ତି, party ଜମ୍ମ!","At a DJ party someone cranked volume to 10x — everyone ran away! Keep it at 5x — everyone dances, party is great!"
Effective Head LR,1.41e-3,1e-4 (14x lower),High head LR caused erratic classifier training,"ପରୀକ୍ଷା ରାତି — 14 ଟି chapter ଗୋଟିଏ ରାତିରେ! Brain ଫଟ ଯାଇଛି। ଦିନକୁ 1 chapter ପଢ଼ — ସ୍ୱସ୍ଥ brain, ଭଲ result।","Exam night — 14 chapters in one night! Brain explodes. Read 1 chapter per day — healthy brain, better result."
Class Weight Strategy,Raw inverse frequency (max ratio ~2.13),Square root dampened (max ratio ~1.46),Sqrt dampening prevents rare-class gradient domination,"Pizza party ରେ 10 ଜଣ vegetarian, 2 ଜଣ non-veg। ଯଦି non-veg ପାଇଁ 5 ଗୁଣ pizza ଅର୍ଡ଼ର — vegetarian ଭୋକ ରହିଲେ! ସମ balance ରଖ — ସବୁ ଖୁସି।","Pizza party — 10 vegetarians, 2 non-veg. If you order 5x pizza for non-veg — vegetarians go hungry! Keep a fair balance — everyone happy."
Label Smoothing,None (0.0),0.05,Prevents overconfidence and improves generalization,"ଶ୍ରେଣୀ ଭିତରେ 'know-it-all' ବନ୍ଧୁ — '100% ମୁଁ ଠିକ!' ବୋଲି ଚିଲ୍ଲାଏ, ଶୁଣୁ ନାହିଁ। ଟିକେ humble ହ '95% ଠିକ ହୋଇ ପାରେ' — ଆହୁରି ଶିଖ।","Know-it-all friend in class — screams '100% I am right!' and never listens. Be a little humble '95% might be right' — learn even more."
Batch Size,256,128,128 balances GPU utilization with update frequency,"ଏକା ଥରରେ 256 ଟି ମୋମୋ ଖାଇବ? ପେଟ ଫଟ ଯିବ! 128 ଟି ଖାଅ — ଠିକ ଭାବରେ ହଜମ, ଆଉ 128 ଟି ଖୁସିରେ ଖାଅ।","Eat 256 momos in one go? Stomach will burst! Eat 128 — digest properly, then happily eat the next 128."
Steps Per Epoch (approx 14k samples),~55,~110,More updates per epoch means finer optimization,"Football practice — 55 ଥର kick। ଆଉ 110 ଥର kick practice କଲ — ଗୋଲ ଅଭ୍ୟାସ ଦ୍ୱିଗୁଣ, footballer ଭଲ ହୁଏ।","Football practice — 55 kicks. Now do 110 kicks — double the goal practice, footballer improves faster."
Epochs,10,10,Same total training duration,"ଗୋଟିଏ film 10 ଥର ଦେଖ — ସବୁ dialogue ମୁଖସ୍ଥ। 10 ଥର ଯଥେଷ୍ଟ — 100 ଥର ଦେଖିଲ ତ ଜୀବନ ନଷ୍ଟ!","Watch a movie 10 times — you memorise all dialogues. 10 times is enough — watch 100 times and you waste your life!"
Mixed Precision (FP16),Yes,Yes,Halves VRAM usage - always recommended,"ବଡ଼ suitcase ସବୁ ଯାତ୍ରାରେ ଭଲ ଲାଗୁ ନ ଥାଏ। ଛୋଟ FP16 bag — ହାଲୁକା, ଦ୍ରୁତ, ବସ୍ ରେ ସ୍ଥାନ ମିଳେ।","A giant suitcase doesn't always work well for travel. A small FP16 bag — light, fast, fits on the bus."
Backbone Freeze Phase,Epochs 1-2 frozen,Epochs 1-2 frozen,Lets classifier head converge before backbone tuning,"ଘୁମୁଥିବା ଦିଗ୍ଗଜ (backbone) କୁ ଜଗାଇ ଦ। ଆଗେ ଶିଶୁ (head) ଶିଖୁ — ତା ପରେ ଦିଗ୍ଗଜ ସାହାଯ୍ୟ କରୁ।","Let the sleeping giant (backbone) rest. First let the baby (head) learn — then the giant wakes up to help."
Optimizer Reset at Unfreeze,Yes - fresh optimizer,Yes - fresh optimizer,Avoids stale momentum from frozen phase,"ଶ୍ରେଣୀ blackboard ପୁରା ପୋଛ — ନୂଆ ଶିକ୍ଷକ, ନୂଆ ଆରମ୍ଭ। ପୁରୁଣା ଲେଖା ରହିଲ ତ ନୂଆ ଶିକ୍ଷା ଗୋଳ ହୋଇଯାଏ।","Wipe the classroom blackboard clean — new teacher, fresh start. If old writing remains, new lesson gets confused."
LR Warmup After Unfreeze,Yes,Yes,Prevents initial instability when backbone first unfreezes,"ଥଣ୍ଡା ପାଣିରେ ସିଧା ଡେଇଁ ପଡ଼ — ଶୀତ ଲାଗିବ! ଆଗେ ଗୋଡ଼ ବୁଡ଼ାଅ, ତ ପ ଶରୀର — ସ୍ୱାଭାବିକ ଭାବରେ ପ୍ରସ୍ତୁତ।","Jump straight into cold water — you'll freeze! First dip your feet, then body — naturally prepared."
LR Schedule,Cosine decay,Cosine decay,Smooth learning rate reduction through training,"lollipop ଧୀରେ ଧୀରେ ଛୋଟ ହୁଏ — ଶେଷ ପର୍ଯ୍ୟନ୍ତ ଆନନ୍ଦ। ଏକା ଥରରେ ଗପ୍ ଦଲ ତ ଆନନ୍ଦ ଶେଷ!","A lollipop slowly shrinks — enjoyment till the very end. Gulp it all at once and the joy is over!"
